Lee_Marvin;Woody_Strode;Vera_Miles
Chris_Hemsworth;Robert_Downey_Jr.;Scarlett_Johansson
Tom_Hardy;Charlize_Theron;Zoë_Kravitz
Zack_Ward;Darren_McGavin;Scott_Schwartz
Clint_Eastwood;Morgan_Freeman;Mike_Colter
Ryan_Reynolds;Ed_Skrein;Stefan_Kapicic
Bill_Murray;Tom_Wilkinson;F._Murray_Abraham
Robert_Duvall;Faye_Dunaway;William_Holden
Myrna_Loy;Teresa_Wright;Dana_Andrews
Ulrich_Thomsen;Paprika_Steen;Trine_Dyrholm
Hanno_Pöschl;Hans_Weingartner;Dominik_Castell
Woody_Allen;Carol_Kane;Shelley_Duvall
Wayne_Knight;Ariana_Richards;Bob_Peck
Natascha_McElhone;Noah_Emmerich;Peter_Krause
Emma_Stone;Bryce_Dallas_Howard;Mike_Vogel
Donatas_Banionis;Anatoliy_Solonitsyn;Natalya_Bondarchuk
Jake_Gyllenhaal;Mary_McDonnell;James_Duval
Kelly_Macdonald;Stephen_Root;Barry_Corbin
Patrick_Fugit;Sela_Ward;Emily_Ratajkowski
Chris_Hemsworth;Olivia_Wilde;Alexandra_Maria_Lara
Hugh_Jackman;Jake_Gyllenhaal;Dylan_Minnette
Adriana_Barraza;Jorge_Salinas;Goya_Toledo
Jim_Meskimen;Paul_F._Tompkins;Kevin_Breznahan
Sylvester_Stallone;Burgess_Meredith;Carl_Weathers
Sissy_Spacek;Richard_Farnsworth;Everett_McGill
Naomi_Watts;Robert_Forster;Laura_Harring
Peter_Serafinowicz;Dylan_Moran;Rafe_Spall
Elizabeth_Berrington;Anna_Madeley;Eric_Godon
Robert_De_Niro;Bob_Hoskins;Jim_Broadbent
Holly_Hunter;Craig_T._Nelson;Lou_Romano
Michael_Moore;Tucker_Albrizzi;Bill_Clinton
Marlon_Brando;Karl_Malden;Kim_Hunter
Eleanor_Parker;Angela_Cartwright;Nicholas_Hammond
Sally_Kirkland;Jay_O._Sanders;Cheryl_Penland
Ari_Folman;Ronny_Dayag;Zahava_Solomon
Shah_Rukh_Khan;Jimmy_Shergill;Christopher_B._Duncan
Anil_Kapoor;Saurabh_Shukla;Ayush_Mahesh_Khedekar
Jennifer_Lawrence;Peter_Dinklage;Hugh_Jackman
Clint_Eastwood;Gian_Maria_Volontè;Aldo_Sambrell
George_C._Scott;Karl_Malden;Bill_Hickman
Eva_Green;Tobias_Menzies;Ivana_Milicevic
Catherine_Deneuve;Udo_Kier;Björk
Leonardo_DiCaprio;Djimon_Hounsou;Stephen_Collins
Brad_Pitt;Gary_Oldman;Michael_Rapaport
Logan_Lerman;Ezra_Miller;Kate_Walsh
William_Katt;John_Billingsley;David_Lee_Smith
Eva_Green;Tobias_Menzies;Ivana_Milicevic
Vin_Diesel;Harry_Connick_Jr.;M._Emmet_Walsh
Natalie_Portman;Mila_Kunis;Mark_Margolis
Julie_Christie;Klaus_Kinski;Geraldine_Chaplin
Will_Smith;Kurt_Fuller;James_Karen
Emmanuelle_Seigner;Mathieu_Amalric;Isaach_De_Bankolé
Steve_Buscemi;Alison_Lohman;Albert_Finney
Vivica_A._Fox;Michael_Parks;Michael_Bowen
Leonardo_DiCaprio;Tom_Hanks;Jennifer_Garner
Vernon_Dobtcheff;Albert_Delpy;Marie_Pillet
George_C._Scott;Jackie_Gleason;Murray_Hamilton
Adam_Baldwin;Sean_Maher;Michael_Hitchcock
Tom_Cruise;Valeria_Golino;Beth_Grant
Robin_Williams;Frank_Welker;Scott_Weinger
Michael_Moore;Dick_Clark;Bill_Clinton
Janeane_Garofalo;John_Ratzenberger;Brian_Dennehy
Mary_McDonnell;Michael_Spears;Maury_Chaykin
John_Cassavetes;Mia_Farrow;Charles_Grodin
William_Holden;Warren_Oates;L.Q._Jones
Ellar_Coltrane;Lorelei_Linklater;Libby_Villari
Madeline_Kahn;Peter_Boyle;Teri_Garr
Roy_Scheider;Robert_Shaw;Murray_Hamilton
Judith_O'Dea;Duane_Jones;S._William_Hinzman
Chris_Hemsworth;Leonard_Nimoy;Bruce_Greenwood
Matthew_McConaughey;Jennifer_Garner;Denis_O'Hare
Robert_Duvall;Dwight_Yoakam;J.T._Walsh
Scarlett_Johansson;Brian_Johnson;Matt_Letscher
Colin_Firth;Jennifer_Ehle;Derek_Jacobi
Sam_Shepard;Stuart_Margolin;Richard_Libertini
Robin_Williams;Josh_Charles;Kurtwood_Smith
Suraj_Sharma;Rafe_Spall;Tabu
Catherine_Deneuve;Gena_Rowlands;Danielle_Darrieux
Patton_Oswalt;Neil_Flynn;Jim_Meskimen
Bérénice_Bejo;Ed_Lauter;Beth_Grant
Sharlto_Copley;Jed_Brophy;Jason_Cope
John_Doman;Spencer_Treat_Clark;Tom_Guiry
Ellen_Burstyn;Linda_Blair;Lee_J._Cobb
Paddy_Considine;Bruce_McGill;Rosemarie_DeWitt
Kathleen_Freeman;Chris_Miller;Bobby_Block
Denzel_Washington;Morgan_Freeman;Matthew_Broderick
Anthony_Hopkins;Antony_Starr;Craig_Hall
Chen_Chang;Pei-Pei_Cheng;Sihung_Lung
Johnny_Depp;Bill_Murray;Martin_Landau
Ryan_Gosling;Kevin_Connolly;Gena_Rowlands
Matt_Damon;Josh_Hamilton;Nicky_Naudé
Robert_De_Niro;Billy_Drago;Charles_Martin_Smith
Anthony_Hopkins;Peter_Vaughan;Ben_Chaplin
Liam_Neeson;Holly_Valance;Xander_Berkeley
Bill_Bailey;Joe_Cornish;Billie_Whitelaw
Tom_Hanks;John_Ratzenberger;Wayne_Knight
Johnny_Depp;Dianne_Wiest;Conchata_Ferrell
Yuki_Matsuzaki;Kazunari_Ninomiya;Shidô_Nakamura
Philip_Seymour_Hoffman;Zooey_Deschanel;Michael_Angarano
Craig_Stark;Jennifer_Jason_Leigh;Zoë_Bell
Don_Cheadle;Nicole_Ari_Parker;Nina_Hartley
Dennis_Quaid;Scott_Glenn;Sam_Shepard
John_Belushi;Aretha_Franklin;Ray_Charles
Jeremy_Brett;Rex_Harrison;Theodore_Bikel
Tom_Hanks;Chris_Mulkey;Michael_Chernus
Colin_Salmon;Mary_Elizabeth_Mastrantonio;Jake_McDorman
Charlie_Hunnam;Danny_Huston;Rita_Davies
Denzel_Washington;Morgan_Freeman;Matthew_Broderick
Sandra_Ellis_Lafferty;Dallas_Roberts;Tyler_Hilton
Aldis_Hodge;Neil_Brown_Jr.;R._Marcos_Taylor
Jet_Li;Tony_Chiu_Wai_Leung;Maggie_Cheung
Jamie_Lee_Curtis;Donald_Pleasence;P.J._Soles
Al_Pacino;Rip_Torn;Debi_Mazar
CCH_Pounder;Joel_David_Moore;Wes_Studi
Don_Cheadle;Loretta_Devine;Jennifer_Esposito
Ricardo_Darín;Gastón_Pauls;Leticia_Brédice
Michael_Pollan;Eric_Schlosser;Barbara_Kowalcyk
Henry_Thomas;Dee_Wallace;Peter_Coyote
Mark_Margolis;John_D'Leo;Ajay_Naidu
Michaela_Conlin;T.J._Thyne;Tamara_Taylor
Seamus_Davey-Fitzpatrick;Ariane_Labed;Athina_Rachel_Tsangari
Isabelle_Huppert;Emmanuelle_Riva;Jean-Louis_Trintignant
Aidan_Turner;Adam_Brown;James_Nesbitt
Jake_Gyllenhaal;Michael_Papajohn;James_Huang
Aidan_Turner;Adam_Brown;James_Nesbitt
Steve_Carell;Steven_Christopher_Parker;Jill_Talley
Damon_Wayans_Jr.;Daniel_Henney;Abraham_Benrubi
Harrison_Ford;Teri_Garr;Cindy_Williams
Norman_Reedus;David_Della_Rocco;Bob_Marley
Shah_Rukh_Khan;Preity_Zinta;Anupam_Kher
Joe_Morton;Colin_Ferguson;Salli_Richardson-Whitfield
Tom_Cruise;Lara_Pulver;Noah_Taylor
Anamaria_Marinca;Vlad_Ivanov;Alexandru_Potocean
Robert_Downey_Jr.;Jeff_Bridges;Jon_Favreau
Jean-Baptiste_Maunier;François_Berléand;Gérard_Jugnot
Brenda_Vaccaro;Barnard_Hughes;John_McGiver
Ruby_Dee;John_Savage;Danny_Aiello
Glen_Hansard;Markéta_Irglová;Darren_Healy
Oksana_Akinshina;Artyom_Bogucharskiy;Lyubov_Agapova
Jamie_Lee_Curtis;Donald_Pleasence;P.J._Soles
Christian_Bale;Jack_McGee;Melissa_McMeekin
Gerard_Butler;Djimon_Hounsou;America_Ferrera
Kevin_Spacey;Matt_Berry;Benedict_Wong
Matt_Damon;Joan_Allen;Oksana_Akinshina
Scarlett_Johansson;Chris_Evans;Hayley_Atwell
Shane_Black;Bill_Duke;Carl_Weathers
Jack_McBrayer;Sarah_Silverman;Joe_Lo_Truglio
Albert_Finney;Helen_McCrory;Rory_Kinnear
Emma_Stone;Naomi_Watts;Merritt_Wever
Ryan_Gosling;Denzel_Washington;Ethan_Suplee
John_Cothran;Lloyd_Avery_II;Na'Blonka_Durden
Jennifer_Lawrence;Robert_De_Niro;Bradley_Cooper
Leopold_Stokowski;Deems_Taylor;
Jim_Sturgess;Sean_Buchanan;Liya_Kebede
Bradley_Cooper;Rob_Riggle;Mike_Epps
Minnie_Driver;Eric_Idle;Trey_Parker
Scarlett_Johansson;Bill_Murray;Garry_Shandling
Ulrich_Tukur;Burghart_Klaußner;Leonie_Benesch
Cary-Hiroyuki_Tagawa;Joan_Chen;Victor_Wong
Blair_Underwood;Xander_Berkeley;Mason_Gamble
Michiel_Huisman;Sebastian_Koch;Christian_Berkel
Brad_Pitt;Bernie_Mac;Elliott_Gould
Johnny_Depp;Al_Pacino;Anne_Heche
Roy_Scheider;Fernando_Rey;Tony_Lo_Bianco
Johnny_Depp;Kate_Winslet;Kelly_Macdonald
Peter_Graves;Lloyd_Bridges;Barbara_Billingsley
Holly_Hunter;Tim_Blake_Nelson;Daniel_von_Bargen
Ted_Raimi;Dan_Hicks;Kassie_Wesley_DePaiva
Bruce_Willis;Morgan_Freeman;Dorian_Missick
Scarlett_Johansson;Bill_Murray;Garry_Shandling
Daniel_Radcliffe;Gary_Oldman;Rupert_Grint
Talulah_Riley;Brenda_Blethyn;Simon_Woods
Shengyi_Huang;Chi_Ling_Chiu;Qiu_Yuen
Honor_Blackman;Gert_Fröbe;Lois_Maxwell
Ryan_Gosling;Christian_Bale;Charlie_Talbert
Michael_Biehn;Dana_Delany;Powers_Boothe
Michel_Robin;Charles_Linton;Béatrice_Bonifassi
Peter_Ostrum;Jack_Albertson;Julie_Dawn_Cole
Philip_Seymour_Hoffman;Jon_Lovitz;Dylan_Baker
Madeline_Kahn;David_Huddleston;Harvey_Korman
Adam_Baldwin;Elizabeth_McGovern;Judd_Hirsch
Ed_Wynn;Glynis_Johns;Elsa_Lanchester
Jennifer_Lawrence;Michael_Fassbender;Oliver_Platt
Benedict_Cumberbatch;Alfie_Allen;Brenda_Blethyn
Brad_Pitt;Jason_Flemyng;Julia_Ormond
Scarlett_Johansson;Bill_Murray;Catherine_Lambert
Joseph_Gordon-Levitt;Wayne_Knight;Kristen_Johnston
Bruce_Willis;Morgan_Freeman;Dorian_Missick
Benedict_Cumberbatch;Bruce_Greenwood;Noel_Clarke
Moritz_Bleibtreu;Ludger_Pistor;Armin_Rohde
Denzel_Washington;Ruby_Dee;RZA
Robin_Wright;Goran_Visnjic;Joely_Richardson
Albert_Finney;Helen_McCrory;Rory_Kinnear
Willie_Garson;Orson_Bean;Mary_Kay_Place
Ryan_Gosling;Albert_Brooks;Russ_Tamblyn
Phaldut_Sharma;Basher_Savage;Amy_Warren
Brad_Garrett;Donna_Murphy;M.C._Gainey
Morgan_Freeman;Will_Ferrell;Alison_Brie
Christian_Bale;Logan_Lerman;Gretchen_Mol
Angelina_Jolie_Pitt;Michael_Kelly;Colm_Feore
Deborah_Kara_Unger;Armin_Mueller-Stahl;Charles_Martinet
Gary_Cole;Stephen_Root;Diedrich_Bader
Richard_Burton;Richard_Beymer;Eddie_Albert
Lea_Thompson;Jeffrey_Weissman;Thomas_F._Wilson
Harrison_Ford;Daniel_Roebuck;Sela_Ward
Oprah_Winfrey;Rae_Dawn_Chong;Dana_Ivey
Richard_Johnson;Sheila_Hancock;Cara_Horgan
Shailene_Woodley;Sam_Trammell;Nat_Wolff
Bill_Murray;Meryl_Streep;Helen_McCrory
Rudy_Youngblood;Dalia_Hernández;Jonathan_Brewer
Bruce_Willis;Bill_Murray;Bob_Balaban
Jason_Mewes;Brian_O'Halloran;Jeff_Anderson
Javier_Botet;Frances_O'Connor;Robin_Atkin_Downes
Devin_Ratray;Bruce_Dern;Will_Forte
Johnny_Depp;Leonardo_DiCaprio;Kevin_Tighe
Kevin_Spacey;Al_Pacino;Jude_Ciccolella
Tom_Hughes;Tom_Hollander;Lindsay_Duncan
Paul_McGill;Philippe_Petit;Jean-Louis_Blondeau
Wes_Studi;Terry_Kinney;Eric_Schweig
Rufus_Sewell;William_Hurt;Bruce_Spence
Will_Smith;Rosario_Dawson;Madison_Pettis
James_Mason;Shelley_Winters;Lois_Maxwell
Philip_Seymour_Hoffman;Rosario_Dawson;Aaron_Stanford
Denis_Lavant;André_Dussollier;Albert_Dupontel
Tom_Cruise;Tony_Goldwyn;Chad_Lindberg
Denzel_Washington;Radha_Mitchell;Giancarlo_Giannini
Leonardo_DiCaprio;Kate_Winslet;Gloria_Stuart
Peter_Dinklage;Joe_Lo_Truglio;Paula_Garcés
Jennifer_Saunders;Dawn_French;John_Hodgman
Sendhil_Ramamurthy;Masi_Oka;Greg_Grunberg
Matt_Frewer;Billy_Crudup;Stephen_McHattie
Min-sik_Choi;Yeong-ae_Lee;Hye-jeong_Kang
Christian_Bale;Jennifer_Jason_Leigh;Reg_E._Cathey
Maribel_Verdú;Daniel_Giménez_Cacho;María_Aura
Elizabeth_McGovern;Deborah_Twiss;Michael_Rispoli
